com.samsung.health.sleep_stage,6303011,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2023-04-16 19:58:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.090,2023-04-17 00:31:59.090,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:20:00.000,a2aae641-a9ae-431a-8800-d3057a397ee3,
,2023-04-16 20:20:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.090,2023-04-17 00:31:59.090,40003,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:33:00.000,4c03443b-c0c9-4508-9f21-95c16973dd26,
,2023-04-16 20:33:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.090,2023-04-17 00:31:59.090,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:36:00.000,199dc089-29f7-48e0-bab2-8996237f5122,
,2023-04-16 20:36:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.091,2023-04-17 00:31:59.091,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:50:00.000,6f9caab5-8224-4b0f-9797-5d29d74f71d3,
,2023-04-16 20:50:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.091,2023-04-17 00:31:59.091,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:51:00.000,396facf5-1073-4df8-b870-e98bedc5e4e9,
,2023-04-16 20:51:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.091,2023-04-17 00:31:59.091,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:52:00.000,b161a1af-6606-4298-b8bc-eadc94cfcb71,
,2023-04-16 20:52:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.091,2023-04-17 00:31:59.091,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:53:00.000,42d4def5-3abd-45e0-b8b9-ca1dd9110e94,
,2023-04-16 20:53:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.091,2023-04-17 00:31:59.091,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 20:59:00.000,f199f019-2913-4e74-b118-3cb1a2c444e4,
,2023-04-16 20:59:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.092,2023-04-17 00:31:59.092,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:01:00.000,eb79eaad-67d2-471a-bbca-77e7a9980d25,
,2023-04-16 21:01:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.092,2023-04-17 00:31:59.092,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:10:00.000,8e9a9ec1-8fed-46f5-8457-0b09332aad39,
,2023-04-16 21:10:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.092,2023-04-17 00:31:59.092,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:11:00.000,91fd85eb-7352-4387-a44e-fd6400b4c5c4,
,2023-04-16 21:11:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.092,2023-04-17 00:31:59.092,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:14:00.000,bc6e9210-1288-4726-b8a5-aa9d3350b827,
,2023-04-16 21:14:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.093,2023-04-17 00:31:59.093,40001,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:15:00.000,fdde119b-c20c-48a2-9041-6f9e1424935c,
,2023-04-16 21:15:00.000,8d6d9ced-7394-4ead-8c70-21fa4649ed70,,,2023-04-17 00:31:59.093,2023-04-17 00:31:59.093,40002,UTC+0400,g1H1gSpl4L,com.sec.android.app.shealth,2023-04-16 21:32:00.000,9df2bb1a-6409-47b3-968a-fe4e41b0612e,
